=== Worker 5 start ===
Running matches: games_per_side=50, depth=8, max_plies=150, movetime_ms=10, fen_or_book=startpos, version_a=v24, version_b=v25

Batch 1/2: v24 white vs v25 black, 50 games
Game (W:v24 vs B:v25) FEN=startpos -> result 1/2-1/2 threefold-repetition
Game (W:v24 vs B:v25) FEN=startpos -> result 1/2-1/2 max-plies
Game (W:v24 vs B:v25) FEN=startpos -> result 1-0 checkmate
Game (W:v24 vs B:v25) FEN=startpos -> result 1/2-1/2 max-plies
Game (W:v24 vs B:v25) FEN=startpos -> result 1-0 checkmate
Game (W:v24 vs B:v25) FEN=startpos -> result 1-0 checkmate
Game (W:v24 vs B:v25) FEN=startpos -> result 1/2-1/2 max-plies
Game (W:v24 vs B:v25) FEN=startpos -> result 1/2-1/2 threefold-repetition
Game (W:v24 vs B:v25) FEN=startpos -> result 1-0 checkmate
Game (W:v24 vs B:v25) FEN=startpos -> result 1-0 checkmate
Game (W:v24 vs B:v25) FEN=startpos -> result 1/2-1/2 threefold-repetition
Game (W:v24 vs B:v25) FEN=startpos -> result 1/2-1/2 max-plies
Game (W:v24 vs B:v25) FEN=startpos -> result 1-0 checkmate
Game (W:v24 vs B:v25) FEN=startpos -> result 1-0 checkmate
Game (W:v24 vs B:v25) FEN=startpos -> result 1-0 checkmate
Game (W:v24 vs B:v25) FEN=startpos -> result 1/2-1/2 threefold-repetition
Game (W:v24 vs B:v25) FEN=startpos -> result 0-1 checkmate
Game (W:v24 vs B:v25) FEN=startpos -> result 1/2-1/2 max-plies
Game (W:v24 vs B:v25) FEN=startpos -> result 1-0 checkmate
Game (W:v24 vs B:v25) FEN=startpos -> result 1-0 checkmate
Game (W:v24 vs B:v25) FEN=startpos -> result 1-0 checkmate
Game (W:v24 vs B:v25) FEN=startpos -> result 1-0 checkmate
Game (W:v24 vs B:v25) FEN=startpos -> result 1-0 checkmate
Game (W:v24 vs B:v25) FEN=startpos -> result 1-0 checkmate
Game (W:v24 vs B:v25) FEN=startpos -> result 1-0 checkmate
Game (W:v24 vs B:v25) FEN=startpos -> result 0-1 checkmate
Game (W:v24 vs B:v25) FEN=startpos -> result 1-0 checkmate
Game (W:v24 vs B:v25) FEN=startpos -> result 1/2-1/2 max-plies
Game (W:v24 vs B:v25) FEN=startpos -> result 1/2-1/2 max-plies
Game (W:v24 vs B:v25) FEN=startpos -> result 1-0 checkmate
Game (W:v24 vs B:v25) FEN=startpos -> result 1-0 checkmate
Game (W:v24 vs B:v25) FEN=startpos -> result 0-1 checkmate
Game (W:v24 vs B:v25) FEN=startpos -> result 1/2-1/2 max-plies
Game (W:v24 vs B:v25) FEN=startpos -> result 1-0 checkmate
